Year-Month,Snow Mass
1979-3,2799.193979
1980-3,2732.869575
1981-3,2408.809497
1982-3,2717.428713
1983-3,2610.342419
1984-3,2578.015236
1985-3,2720.656136
1986-3,2603.246274
1987-3,2639.900033
1988-3,2793.338161
1989-3,2799.311873
1990-3,2554.685014
1991-3,2798.190207
1992-3,2695.696623
1993-3,2679.390943
1994-3,2779.639233
1995-3,2620.215296
1996-3,2783.136199
1997-3,2944.907579
1998-3,2506.488061
1999-3,2873.580991
2000-3,2516.483348
2001-3,2760.899597
2002-3,2552.334046
2003-3,2638.802463
2004-3,2664.234399
2005-3,2674.173874
2006-3,2639.202784
2007-3,2646.305602
2008-3,2610.398953
2009-3,2694.188986
2010-3,2362.957672
2011-3,2721.695451
2012-3,2335.01973
2013-3,2708.229487
2014-3,2467.704652
2015-3,2481.550322
2016-3,2377.176437
2017-3,2486.564485
2018-3,2694.471839
