,year-month,snow mass,,March,Snow Mass,,,,,
0,1979-1,2331.418983,,1979-3,2799.193979,,average decrease of snow mass (1979-2018),,average decrease of snow mass (1994-2017),
1,1979-2,2914.879494,,1980-3,2732.869575,,-161.4441793,,-168.063128,
2,1979-3,2799.193979,,1981-3,2408.809497,,,,,
3,1979-4,1926.924715,,1982-3,2717.428713,,,,,
4,1979-5,539.830599,,1983-3,2610.342419,,,,,
5,1979-6,0,,1984-3,2578.015236,,March ,Snow Decrease,March (1994-2017),
6,1979-7,0,,1985-3,2720.656136,,1979-3,0,1994-3,0
7,1979-8,0,,1986-3,2603.246274,,1980-3,-66.324404,1995-3,-159.423937
8,1979-9,0,,1987-3,2639.900033,,1981-3,-390.384482,1996-3,3.496966
9,1979-10,105.1395338,,1988-3,2793.338161,,1982-3,-81.765266,1997-3,165.268346
10,1979-11,658.3498046,,1989-3,2799.311873,,1983-3,-188.85156,1998-3,-273.151172
11,1979-12,1457.352341,,1990-3,2554.685014,,1984-3,-221.178743,1999-3,93.941758
12,1980-1,2205.121361,,1991-3,2798.190207,,1985-3,-78.537843,2000-3,-263.155885
13,1980-2,2658.953645,,1992-3,2695.696623,,1986-3,-195.947705,2001-3,-18.739636
14,1980-3,2732.869575,,1993-3,2679.390943,,1987-3,-159.293946,2002-3,-227.305187
15,1980-4,1662.504282,,1994-3,2779.639233,,1988-3,-5.855818,2003-3,-140.83677
16,1980-5,612.4441062,,1995-3,2620.215296,,1989-3,0.117894,2004-3,-115.404834
17,1980-6,0,,1996-3,2783.136199,,1990-3,-244.508965,2005-3,-105.465359
18,1980-7,0,,1997-3,2944.907579,,1991-3,-1.003772,2006-3,-140.436449
19,1980-8,0,,1998-3,2506.488061,,1992-3,-103.497356,2007-3,-133.333631
20,1980-9,4.094784078,,1999-3,2873.580991,,1993-3,-119.803036,2008-3,-169.24028
21,1980-10,86.59880743,,2000-3,2516.483348,,1994-3,-19.554746,2009-3,-85.450247
22,1980-11,542.3955007,,2001-3,2760.899597,,1995-3,-178.978683,2010-3,-416.681561
23,1980-12,1487.231283,,2002-3,2552.334046,,1996-3,-16.05778,2011-3,-57.943782
24,1981-1,2163.212351,,2003-3,2638.802463,,1997-3,145.7136,2012-3,-444.619503
25,1981-2,2511.129181,,2004-3,2664.234399,,1998-3,-292.705918,2013-3,-71.409746
26,1981-3,2408.809497,,2005-3,2674.173874,,1999-3,74.387012,2014-3,-311.934581
27,1981-4,1550.122679,,2006-3,2639.202784,,2000-3,-282.710631,2015-3,-298.088911
28,1981-5,527.6925669,,2007-3,2646.305602,,2001-3,-38.294382,2016-3,-402.462796
29,1981-6,131.3395135,,2008-3,2610.398953,,2002-3,-246.859933,2017-3,-293.074748
30,1981-7,0,,2009-3,2694.188986,,2003-3,-160.391516,,
31,1981-8,0,,2010-3,2362.957672,,2004-3,-134.95958,,
32,1981-9,0,,2011-3,2721.695451,,2005-3,-125.020105,,
33,1981-10,173.26991,,2012-3,2335.01973,,2006-3,-159.991195,,
34,1981-11,318.3800712,,2013-3,2708.229487,,2007-3,-152.888377,,
