,year,snow mass
0,1979,1042.972833
1,1980,888.5691281
2,1981,665.7372045
3,1982,1007.192412
4,1983,860.7678134
5,1984,880.5753464
6,1985,966.9533941
7,1986,853.9134
8,1987,892.0906806
9,1988,966.2654719
10,1989,1039.267323
11,1990,981.4977038
12,1991,1011.201915
13,1992,975.8234972
14,1993,954.4106872
15,1994,873.9395004
16,1995,935.2998462
17,1996,941.2199324
18,1997,1166.888812
19,1998,788.9815318
20,1999,885.3782204
21,2000,685.2048345
22,2001,990.8118266
23,2002,862.3349741
24,2003,863.4678008
25,2004,895.3616412
26,2005,938.1173616
27,2006,868.4063038
28,2007,839.3210695
29,2008,983.180202
30,2009,966.8632907
31,2010,567.7587408
32,2011,896.6730754
33,2012,716.0677226
34,2013,887.9901923
35,2014,852.4592775
36,2015,684.2567405
37,2016,668.1747422
38,2017,731.9027919
39,2018,843.040694
