,year,esa_cci,globsnow
0,1979,91.91226925962279,97.35557873196092
1,1980,91.4848379611549,94.79601228943744
2,1981,88.46396667643825,92.59196225363452
3,1982,89.32977189765278,94.34757921261641
4,1983,93.02644446361175,98.61101962097328
5,1984,85.0252649631927,88.99719791441808
6,1985,87.17704780945263,91.31518684757656
7,1986,87.38880419300756,91.17199470041801
8,1987,84.85601649245903,88.71359283353972
9,1988,87.29194439963945,90.11377844086162
10,1989,93.64661013596698,95.99653887360151
11,1990,90.44024956985523,93.46562369277311
12,1991,91.95190990399479,94.39052284940806
13,1992,91.50854002903839,95.46981982693009
14,1993,89.93552139614872,91.80256951731182
15,1994,90.35672730536608,93.59467492486273
16,1995,93.32620471324005,96.01663932471084
17,1996,90.08855202894354,92.60523313219967
18,1997,98.94011539682714,104.94313982955778
19,1998,86.31648892991497,89.60822302780247
20,1999,95.01913624630419,99.2575865761031
21,2000,89.45104616592809,91.86358202484256
22,2001,89.9778358618108,95.04779040944851
23,2002,92.76240386905775,95.745511603563
24,2003,84.85935462143472,87.53278580362183
25,2004,89.0735474743886,92.45003567423637
26,2005,90.73461575837635,94.29081048578267
27,2006,85.35311028448338,89.7991723440912
28,2007,93.2062693358091,97.43871579609925
29,2008,94.18921222275452,97.8932803766113
30,2009,91.10998352939491,97.52757790297616
31,2010,81.15931616288648,85.92012466288095
32,2011,92.99902593743789,98.91473195085133
33,2012,84.09301114920927,88.20485257603406
34,2013,90.32917680717705,96.39029735301257
35,2014,90.86704452007908,96.94508437706348
36,2015,92.14255479507418,98.10694503231711
37,2016,87.97437163402415,92.9997231285717
38,2017,91.38459899646065,97.1634091080062
39,2018,98.93777941557971,103.82157261358212
