,year,esa_cci,globsnow
0,1979,91.91226926,97.35557873
1,1980,91.48483796,94.79601229
2,1981,88.46396668,92.59196225
3,1982,89.3297719,94.34757921
4,1983,93.02644446,98.61101962
5,1984,85.02526496,88.99719791
6,1985,87.17704781,91.31518685
7,1986,87.38880419,91.1719947
8,1987,84.85601649,88.71359283
9,1988,87.2919444,90.11377844
10,1989,93.64661014,95.99653887
11,1990,90.44024957,93.46562369
12,1991,91.9519099,94.39052285
13,1992,91.50854003,95.46981983
14,1993,89.9355214,91.80256952
15,1994,90.35672731,93.59467492
16,1995,93.32620471,96.01663932
17,1996,90.08855203,92.60523313
18,1997,98.9401154,104.9431398
19,1998,86.31648893,89.60822303
20,1999,95.01913625,99.25758658
21,2000,89.45104617,91.86358202
22,2001,89.97783586,95.04779041
23,2002,92.76240387,95.7455116
24,2003,84.85935462,87.5327858
25,2004,89.07354747,92.45003567
26,2005,90.73461576,94.29081049
27,2006,85.35311028,89.79917234
28,2007,93.20626934,97.4387158
29,2008,94.18921222,97.89328038
30,2009,91.10998353,97.5275779
31,2010,81.15931616,85.92012466
32,2011,92.99902594,98.91473195
33,2012,84.09301115,88.20485258
34,2013,90.32917681,96.39029735
35,2014,90.86704452,96.94508438
36,2015,92.1425548,98.10694503
37,2016,87.97437163,92.99972313
38,2017,91.384599,97.16340911
39,2018,98.93777942,103.8215726
