Year,Snow,AIS,Glacier,GrIS,Ice Shelf Calving,Ice Shelf Thinning,NH SeaIce,SH SeaIce
1994,94.08641566,-129.04,-180.733,-76.8,-107.1032715,-12.1961,132.4160156,-559.6451782
1995,39.64925378,-166.21,-442.785,-240.14,-178.4782715,-13.8559,-1995.298828,-235.5771557
1996,129.7258704,-194.99,-599.203,-134.38,-249.9575195,3.50561,12.19726563,-698.6622767
1997,390.4080457,-227.3,-939.119,-100.61,-376.9025879,8.35562,-270.421875,-810.4442182
1998,220.7186789,-249.73,-1203.068,-249.2,-503.8481445,-30.04029,-1233.546875,-922.4098088
1999,401.9177272,-328.46,-1482.545,-277.32,-840.2514648,-114.82179,-1937.802734,-645.9348799
2000,223.2280611,-356.73,-1639.3075,-311.42,-1148.172119,-206.76979,-2060.587891,-399.9955441
2001,289.4366506,-377.71,-1834.507,-354.51,-1480.632568,-283.73679,-1564.585938,-1012.550894
2002,146.0434628,-406.7,-2053.963,-473.93,-1620.020264,-392.28879,-2239.220703,-92.3413757
2003,87.22529827,-502.71,-2276.097667,-638.97,-1759.408203,-581.47079,-3319.171875,106.6476382
2004,65.07575555,-581.62,-2590.034667,-823.79,-1898.796387,-851.41579,-3157.046875,-566.3387496
2005,56.87809081,-598.51,-2834.4505,-1008.29,-2038.183105,-1148.78579,-4038.375,-407.0564135
2006,11.90036617,-693.86,-3108.3055,-1226.41,-2177.571289,-1461.14579,-4889.535156,-303.7100859
2007,-25.72902497,-901.58,-3439.357167,-1464.98,-2316.958984,-1793.57579,-5203.699219,436.2172622
2008,-114.2103581,-1015.46,-3644.678167,-1690.96,-2456.34668,-2140.90579,-4710.168945,-65.74899044
2009,-109.3287397,-1104.61,-3999.971333,-1933.2,-2595.734375,-2447.10579,-5539.779297,68.5002284
2010,-439.0336081,-1333.99,-4277.728333,-2256.21,-2735.12207,-2663.72579,-6846.982422,-397.2443061
2011,-406.601044,-1481.98,-4535.484583,-2600.89,-2874.509766,-2792.90579,-7357.382813,181.4741398
2012,-778.4042751,-1691.38,-4720.99825,-2934.18,-3013.897949,-2887.95579,-7785.092773,1354.867512
2013,-769.8250002,-1961.13,-5137.219167,-3154.05,-3153.285156,-2978.37579,-5295.101563,1575.956505
2014,-985.8147055,-2222.82,-5415.415,-3370.05,-3292.67334,-3034.23579,-5671.472656,1311.952223
2015,-1191.143462,-2477.66,-5731.743167,-3573.62,-3432.060547,-3021.30579,-6972.052734,-782.7508131
2016,-1505.865393,-2544.68,-6113.782833,-3820.82,-3571.448242,-2972.07579,-7558.782227,-923.5108287
