,year,cummul
14,1993,0
15,1994,94.08641566
16,1995,39.64925378
17,1996,129.7258704
18,1997,390.4080457
19,1998,220.7186789
20,1999,401.9177272
21,2000,223.2280611
22,2001,289.4366506
23,2002,146.0434628
24,2003,87.22529827
25,2004,65.07575555
26,2005,56.87809081
27,2006,11.90036617
28,2007,-25.72902497
29,2008,-114.2103581
30,2009,-109.3287397
31,2010,-439.0336081
32,2011,-406.601044
33,2012,-778.4042751
34,2013,-769.8250002
35,2014,-985.8147055
36,2015,-1191.143462
37,2016,-1505.865393
38,2017,-1713.753483
